Id,lastUpdateSubmitDate,studyFirstSubmitDate,endDate,overallStatus,phases,sendResult
NCT03910439,2021-04-19,2019-04-09,2020-11-04,TERMINATED,PHASE2,True
NCT03992170,2019-06-17,2019-06-03,2022-12-31,UNKNOWN,PHASE2,False
NCT03891914,2022-03-30,2019-03-25,2022-11-12,UNKNOWN,PHASE3,False
NCT04816526,2024-09-30,2021-03-23,2022-11-03,TERMINATED,PHASE2,True
NCT03150316,2020-02-20,2017-05-10,2021-09-30,UNKNOWN,PHASE1,False
NCT03051841,2020-02-20,2017-01-09,2022-11,UNKNOWN,PHASE1,False
NCT05091372,2024-11-18,2021-10-12,2025-03-31,RECRUITING,PHASE2,False
NCT03191981,2017-08-22,2017-05-24,2017-08-01,WITHDRAWN,"PHASE1, PHASE2",False
NCT05932680,2024-10-09,2023-06-08,2027-01,RECRUITING,PHASE2,False
NCT04009109,2024-02-02,2019-06-20,2026-07-01,ACTIVE_NOT_RECRUITING,PHASE2,False
NCT05944783,2023-07-12,2022-08-11,2024-01-30,NOT_YET_RECRUITING,PHASE4,False
NCT02447055,2016-07-08,2015-05-13,2016-06,WITHDRAWN,EARLY_PHASE1,False
NCT05651932,2024-12-11,2022-12-01,2026-06-30,RECRUITING,PHASE1,False
NCT04268199,2024-10-04,2020-02-10,2025-05,RECRUITING,PHASE2,False
NCT05338047,2023-02-25,2022-04-12,2023-02-25,COMPLETED,PHASE2,False
NCT03964688,2022-04-19,2019-05-09,2022-03-01,COMPLETED,PHASE2,False
NCT01239368,2019-12-03,2010-11-10,2017-08-16,TERMINATED,"PHASE1, PHASE2",True
NCT01085058,2010-03-10,2010-03-10,2004-12,COMPLETED,"PHASE2, PHASE3",False
NCT06138275,2024-04-12,2023-10-28,2028-12-01,RECRUITING,PHASE2,False
NCT04843579,2023-10-04,2021-04-10,2022-12-30,TERMINATED,PHASE2,True
NCT04065789,2022-01-26,2019-07-31,2021-11-12,COMPLETED,PHASE2,False
NCT05113342,2024-11-08,2021-10-19,2024-11-08,TERMINATED,PHASE1,False
NCT05182073,2024-07-31,2021-10-15,2040-02,ACTIVE_NOT_RECRUITING,PHASE1,False
NCT04782687,2025-01-15,2021-03-01,2026-05-31,ACTIVE_NOT_RECRUITING,PHASE2,False
NCT06518551,2024-11-18,2024-07-18,2034-12-31,RECRUITING,"PHASE1, PHASE2",False
NCT05789303,2024-11-20,2023-03-23,2028-07-01,RECRUITING,PHASE2,False
NCT06536413,2024-11-22,2024-06-27,2030-07,RECRUITING,"PHASE1, PHASE2",False
NCT05431608,2024-12-04,2022-06-20,2025-06-20,RECRUITING,PHASE1,False
NCT03815279,2019-08-14,2019-01-09,2028-01,ENROLLING_BY_INVITATION,PHASE2,False
